City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Mahebourg,MU,2021-03-20 20:26:51,-20.4081,57.7,78.8,89,75,13.8
123,Hegang,CN,2021-03-20 20:26:51,47.4,130.3667,28.47,97,100,8.57
124,Airai,TL,2021-03-20 20:26:52,-8.9266,125.4092,60.39,84,24,2.44
125,Golkoy,TR,2021-03-20 20:26:52,40.6875,37.6178,46.4,100,75,2.3
126,Cherskiy,RU,2021-03-20 20:26:52,68.75,161.3,-21.98,85,0,4.79
127,Kem,RU,2021-03-20 20:26:53,64.9555,34.5793,28.74,96,100,9.33
128,Jambi,ID,2021-03-20 20:26:53,-1.6,103.6167,74.01,96,100,0.72
129,Presidente Epitacio,BR,2021-03-20 20:26:53,-21.7633,-52.1156,86.86,60,75,6.87
130,Grindavik,IS,2021-03-20 20:26:54,63.8424,-22.4338,41.0,87,90,25.32
131,Tabou,CI,2021-03-20 20:26:54,4.423,-7.3528,79.09,84,100,7.47
132,Butaritari,KI,2021-03-20 20:26:54,3.0707,172.7902,81.91,79,12,18.57
133,Kindu,CD,2021-03-20 20:26:55,-2.95,25.95,72.97,91,100,2.44
134,Bandarbeyla,SO,2021-03-20 20:26:55,9.4942,50.8122,77.4,78,0,10.85
135,Tasiilaq,GL,2021-03-20 20:26:55,65.6145,-37.6368,23.0,93,90,40.29
136,Riyadh,SA,2021-03-20 20:22:03,24.6877,46.7219,73.4,25,0,5.75
137,Korla,CN,2021-03-20 20:26:56,41.7597,86.1469,39.16,49,0,0.81
138,Seybaplaya,MX,2021-03-20 20:26:56,19.65,-90.6667,78.8,53,40,16.11
139,Castro,BR,2021-03-20 20:26:57,-24.7911,-50.0119,75.04,85,88,5.5
140,Lovozero,RU,2021-03-20 20:26:57,68.005,35.0117,18.61,76,99,3.09
141,Hay River,CA,2021-03-20 20:26:57,60.8156,-115.7999,10.4,72,100,17.27
142,Norman Wells,CA,2021-03-20 20:26:58,65.282,-126.8329,-4.0,65,20,11.5
