City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
86,Bathsheba,BB,77.0,few clouds,13.2167,-59.5167,Atlantis Hotel
87,Trincomalee,LK,80.78,overcast clouds,8.5711,81.2335,Welcombe Hotel
88,Sulangan,PH,82.69,overcast clouds,11.1373,123.7228,Maia's Beach Resort
93,Kapaa,US,75.2,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
94,Gawler,AU,77.0,clear sky,-34.6,138.7333,Eagle Foundry Bed & Breakfast
99,Cotonou,BJ,82.4,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
101,Alofi,NU,84.2,light rain,-19.0595,-169.9187,Taloa Heights
102,Palmerston,AU,84.0,few clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
104,Mecca,SA,77.52,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
105,Denpasar,ID,82.4,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
108,Vieux-Habitants,GP,75.2,broken clouds,16.0589,-61.7659,Gîtes Dardanelle
114,Guamuchil,MX,89.01,clear sky,25.4667,-108.1,Hotel Heredia
121,Bambous Virieux,MU,79.0,moderate rain,-20.3428,57.7575,Casa Tia Villa
122,Pozo Colorado,PY,79.79,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
123,Faanui,PF,83.21,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
131,Bac Lieu,VN,77.18,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
134,Mana,GF,76.55,few clouds,5.6592,-53.7767,LE SAMANA
135,Hithadhoo,MV,83.17,overcast clouds,-0.6,73.0833,Scoop Guest House
138,Caravelas,BR,75.54,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
140,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
141,Bengkulu,ID,76.06,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
142,Kununurra,AU,75.2,overcast clouds,-15.7667,128.7333,Hotel Kununurra
145,Zinder,NE,88.99,overcast clouds,13.8072,8.9881,Hotel de Ville
